category,address,name,getName,getNameEnd,userDeclaredType,autodetectedType,getType,accessType,userDeclaredSize,autodetectedSize,getSize,getVrom,sectionType,isDefined,isUserDeclared,isAutogenerated,isMaybeString,referenceCounter,overlayCategory,unknownSegment,isGot,isGotGlobal,isGotLocal,gotIndex,firstLoAccess,isAutogeneratedPad,isElfNotype
symbol,0x403B20,_ftext,_ftext,None,SymbolSpecialType.function,SymbolSpecialType.function,@function,None,None,0x10,0x10,0x3B20,.text,True,True,False,False,0,None,False,False,False,False,None,None,False,False
symbol,0x403B30,None,func_00403B30,None,None,SymbolSpecialType.function,@function,None,None,0x2C0,0x2C0,0x3B30,.text,True,False,True,False,0,None,False,False,False,False,None,None,False,False
symbol,0x403DF0,__start,__start,None,SymbolSpecialType.function,SymbolSpecialType.function,@function,None,None,0x108,0x108,0x3DF0,.text,True,True,False,False,0,None,False,False,False,False,None,None,False,False
symbol,0x403DFC,None,.L00403DFC,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x3DFC,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x403EF8,_mcount,_mcount,None,SymbolSpecialType.function,SymbolSpecialType.function,@function,None,None,0x18,0x18,0x3EF8,.text,True,True,False,False,0,None,False,False,False,False,None,None,False,False
symbol,0x403F10,None,func_00403F10,None,None,SymbolSpecialType.function,@function,None,None,0xF8,0xF8,0x3F10,.text,True,False,True,False,1,None,False,True,False,True,None,1908,False,False
symbol,0x403F58,None,.L00403F58,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x3F58,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x403FD4,None,.L00403FD4,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x3FD4,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x404008,None,func_00404008,None,None,SymbolSpecialType.function,@function,None,None,0x100,0x100,0x4008,.text,True,False,True,False,1,None,False,True,False,True,None,1880,False,False
symbol,0x404060,None,.L00404060,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x4060,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x4040CC,None,.L004040CC,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x40CC,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x404108,None,func_00404108,None,None,SymbolSpecialType.function,@function,None,None,0xA0,0xA0,0x4108,.text,True,False,True,False,10,None,False,True,False,True,None,1448,False,False
symbol,0x4041A8,None,func_004041A8,None,None,SymbolSpecialType.function,@function,None,None,0x8C,0x8C,0x41A8,.text,True,False,True,False,1,None,False,True,False,True,None,1852,False,False
symbol,0x404234,None,func_00404234,None,None,SymbolSpecialType.function,@function,None,None,0x7D8,0x7D8,0x4234,.text,True,False,True,False,1,None,False,True,False,True,None,24,False,False
symbol,0x404344,None,.L00404344,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x4344,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x4043A0,None,.L004043A0,None,None,SymbolSpecialType.jumptablelabel,@jumptablelabel,None,None,None,0x4,0x0,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x4043A8,None,.L004043A8,None,None,SymbolSpecialType.jumptablelabel,@jumptablelabel,None,None,None,0x4,0x0,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x4043B0,None,.L004043B0,None,None,SymbolSpecialType.jumptablelabel,@jumptablelabel,None,None,None,0x4,0x0,.text,True,False,True,False,2,None,False,False,False,False,None,None,False,False
symbol,0x4043BC,None,.L004043BC,None,None,SymbolSpecialType.jumptablelabel,@jumptablelabel,None,None,None,0x4,0x0,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x4043C8,None,.L004043C8,None,None,SymbolSpecialType.jumptablelabel,@jumptablelabel,None,None,None,0x4,0x0,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x4043D0,None,.L004043D0,None,None,SymbolSpecialType.jumptablelabel,@jumptablelabel,None,None,None,0x4,0x0,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x4043D8,None,.L004043D8,None,None,SymbolSpecialType.jumptablelabel,@jumptablelabel,None,None,None,0x4,0x0,.text,True,False,True,False,2,None,False,False,False,False,None,None,False,False
