category,address,name,getName,getType,accessType,size,autodetectedSize,getSize,getVrom,sectionType,isDefined,isUserDeclared,isAutogenerated,isMaybeString,referenceCounter,overlayCategory,unknownSegment,isGot,isGotGlobal,isGotLocal
symbol,0x405550,_ftext,_ftext,@function,None,None,0x10,0x10,0x5550,.text,True,True,False,False,0,None,False,False,False,False
symbol,0x405560,None,func_00405560,@function,None,None,0x400,0x400,0x5560,.text,True,False,True,False,0,None,False,False,False,False
symbol,0x405960,__start,__start,@function,None,None,0x108,0x108,0x5960,.text,True,True,False,False,0,None,False,False,False,False
symbol,0x40596C,None,.L0040596C,@branchlabel,None,None,None,0x4,0x596C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x405A68,_mcount,_mcount,@function,None,None,0xC8,0xC8,0x5A68,.text,True,True,False,False,0,None,False,False,False,False
symbol,0x405B30,main,main,@function,None,None,0x16250,0x16250,0x5B30,.text,True,True,False,False,0,None,False,False,True,False
symbol,0x405BA0,None,.L00405BA0,@branchlabel,None,None,None,0x4,0x5BA0,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x405BB4,None,.L00405BB4,@branchlabel,None,None,None,0x4,0x5BB4,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x405BC4,None,.L00405BC4,@branchlabel,None,None,None,0x4,0x5BC4,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x40610C,None,.L0040610C,@branchlabel,None,None,None,0x4,0x610C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x406158,None,.L00406158,@branchlabel,None,None,None,0x4,0x6158,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x406190,None,.L00406190,@branchlabel,None,None,None,0x4,0x6190,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4061E8,None,.L004061E8,@branchlabel,None,None,None,0x4,0x61E8,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x406220,None,.L00406220,@branchlabel,None,None,None,0x4,0x6220,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x406258,None,.L00406258,@branchlabel,None,None,None,0x4,0x6258,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4062BC,None,.L004062BC,@branchlabel,None,None,None,0x4,0x62BC,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x406314,None,.L00406314,@branchlabel,None,None,None,0x4,0x6314,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x40636C,None,.L0040636C,@branchlabel,None,None,None,0x4,0x636C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4063C4,None,.L004063C4,@branchlabel,None,None,None,0x4,0x63C4,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4063FC,None,.L004063FC,@branchlabel,None,None,None,0x4,0x63FC,.text,True,False,True,False,6,None,False,False,False,False
symbol,0x4064D8,None,.L004064D8,@branchlabel,None,None,None,0x4,0x64D8,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x406558,None,.L00406558,@branchlabel,None,None,None,0x4,0x6558,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4065D8,None,.L004065D8,@branchlabel,None,None,None,0x4,0x65D8,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x406674,None,.L00406674,@branchlabel,None,None,None,0x4,0x6674,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4066F4,None,.L004066F4,@branchlabel,None,None,None,0x4,0x66F4,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x406774,None,.L00406774,@branchlabel,None,None,None,0x4,0x6774,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x406818,None,.L00406818,@branchlabel,None,None,None,0x4,0x6818,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4068D8,None,.L004068D8,@branchlabel,None,None,None,0x4,0x68D8,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x40697C,None,.L0040697C,@branchlabel,None,None,None,0x4,0x697C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x406A14,None,.L00406A14,@branchlabel,None,None,None,0x4,0x6A14,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x406AAC,None,.L00406AAC,@branchlabel,None,None,None,0x4,0x6AAC,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x406B44,None,.L00406B44,@branchlabel,None,None,None,0x4,0x6B44,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x406BDC,None,.L00406BDC,@branchlabel,None,None,None,0x4,0x6BDC,.text,True,False,True,False,1,None,False,False,False,False
