category,address,name,getName,getType,accessType,size,autodetectedSize,getSize,getVrom,sectionType,isDefined,isUserDeclared,isAutogenerated,isMaybeString,referenceCounter,overlayCategory,unknownSegment,isGot,isGotGlobal,isGotLocal
symbol,0x-07F80,None,D_-07F80,,WORD,None,None,0x1,0x0,,False,False,True,False,2,None,True,False,False,False
symbol,0x-07ED0,None,D_-07ED0,,WORD,None,None,0x1,0x0,,False,False,True,False,1,None,True,False,False,False
symbol,0x-07ECC,None,D_-07ECC,,WORD,None,None,0x1,0x0,,False,False,True,False,1,None,True,False,False,False
symbol,0x-07E68,None,D_-07E68,,WORD,None,None,0x1,0x0,,False,False,True,False,1,None,True,False,False,False
symbol,0x-07D9C,None,D_-07D9C,,WORD,None,None,0x1,0x0,,False,False,True,False,1,None,True,False,False,False
symbol,0x-07830,None,D_-07830,,WORD,None,None,0x1,0x0,,False,False,True,False,2,None,True,False,False,False
symbol,0x-0782C,None,D_-0782C,,WORD,None,None,0x1,0x0,,False,False,True,False,2,None,True,False,False,False
symbol,0x00FFFF,None,D_00FFFF,s8,BYTE,None,None,0x1,0x0,,False,False,True,False,1,None,True,False,False,False
symbol,0x010020,None,D_010020,,WORD,None,None,0x1,0x0,,False,False,True,False,2,None,True,False,False,False
symbol,0x010024,None,D_010024,,WORD,None,None,0x1,0x0,,False,False,True,False,3,None,True,False,False,False
symbol,0x010028,None,D_010028,,WORD,None,None,0x1,0x0,,False,False,True,False,2,None,True,False,False,False
