category,address,name,getName,getType,accessType,size,autodetectedSize,getSize,getVrom,sectionType,isDefined,isUserDeclared,isAutogenerated,isMaybeString,referenceCounter,overlayCategory,unknownSegment,isGot,isGotGlobal,isGotLocal
symbol,0x000004,errno,errno,,None,0x4,None,0x4,0x0,,False,True,False,False,0,None,False,False,False,False
symbol,0x408EC0,_ftext,_ftext,@function,None,None,0x10,0x10,0x8EC0,.text,True,True,False,False,0,None,False,False,False,False
symbol,0x408ED0,None,func_00408ED0,@function,None,None,0x5F0,0x5F0,0x8ED0,.text,True,False,True,False,0,None,False,False,False,False
symbol,0x4094C0,__start,__start,@function,None,None,0x108,0x108,0x94C0,.text,True,True,False,False,0,None,False,False,False,False
symbol,0x4094CC,None,.L004094CC,@branchlabel,None,None,None,0x4,0x94CC,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4095C8,_mcount,_mcount,@function,None,None,0x18,0x18,0x95C8,.text,True,True,False,False,0,None,False,False,False,False
symbol,0x4095E0,parse_init,parse_init,@function,None,None,0x134,0x134,0x95E0,.text,True,True,False,False,0,None,False,True,True,False
symbol,0x40962C,None,.L0040962C,@branchlabel,None,None,None,0x4,0x962C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409644,None,.L00409644,@branchlabel,None,None,None,0x4,0x9644,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409684,None,.L00409684,@branchlabel,None,None,None,0x4,0x9684,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409714,parse,parse,@function,None,None,0x98,0x98,0x9714,.text,True,True,False,False,0,None,False,True,True,False
symbol,0x409794,None,.L00409794,@branchlabel,None,None,None,0x4,0x9794,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4097A4,None,.L004097A4,@branchlabel,None,None,None,0x4,0x97A4,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4097AC,delete_local_decls,delete_local_decls,@function,None,None,0x260,0x260,0x97AC,.text,True,True,False,False,0,None,False,True,True,False
symbol,0x409818,None,.L00409818,@branchlabel,None,None,None,0x4,0x9818,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409858,None,.L00409858,@branchlabel,None,None,None,0x4,0x9858,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x40987C,None,.L0040987C,@branchlabel,None,None,None,0x4,0x987C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4098AC,None,.L004098AC,@branchlabel,None,None,None,0x4,0x98AC,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4098C0,None,.L004098C0,@branchlabel,None,None,None,0x4,0x98C0,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4098CC,None,.L004098CC,@branchlabel,None,None,None,0x4,0x98CC,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x4098E0,None,.L004098E0,@branchlabel,None,None,None,0x4,0x98E0,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x409908,None,.L00409908,@branchlabel,None,None,None,0x4,0x9908,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x40991C,None,.L0040991C,@branchlabel,None,None,None,0x4,0x991C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409930,None,.L00409930,@branchlabel,None,None,None,0x4,0x9930,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x40993C,None,.L0040993C,@branchlabel,None,None,None,0x4,0x993C,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x409940,None,.L00409940,@branchlabel,None,None,None,0x4,0x9940,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409978,None,.L00409978,@branchlabel,None,None,None,0x4,0x9978,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4099BC,None,.L004099BC,@branchlabel,None,None,None,0x4,0x99BC,.text,True,False,True,False,3,None,False,False,False,False
symbol,0x4099DC,None,.L004099DC,@branchlabel,None,None,None,0x4,0x99DC,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4099E0,None,.L004099E0,@branchlabel,None,None,None,0x4,0x99E0,.text,True,False,True,False,3,None,False,False,False,False
symbol,0x409A0C,make_topdecl,make_topdecl,@function,None,None,0xF4,0xF4,0x9A0C,.text,True,True,False,False,0,None,False,True,True,False
symbol,0x409A90,None,.L00409A90,@branchlabel,None,None,None,0x4,0x9A90,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409A98,None,.L00409A98,@branchlabel,None,None,None,0x4,0x9A98,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409AF0,None,.L00409AF0,@branchlabel,None,None,None,0x4,0x9AF0,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x409B00,None,func_00409B00,@function,None,None,0x124,0x124,0x9B00,.text,True,False,True,False,2,None,False,True,False,True
symbol,0x409B58,None,.L00409B58,@branchlabel,None,None,None,0x4,0x9B58,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409B70,None,.L00409B70,@branchlabel,None,None,None,0x4,0x9B70,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409B78,None,.L00409B78,@branchlabel,None,None,None,0x4,0x9B78,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409BC0,None,.L00409BC0,@branchlabel,None,None,None,0x4,0x9BC0,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409BC8,None,.L00409BC8,@branchlabel,None,None,None,0x4,0x9BC8,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409BDC,None,.L00409BDC,@branchlabel,None,None,None,0x4,0x9BDC,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409BE0,None,.L00409BE0,@branchlabel,None,None,None,0x4,0x9BE0,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409C14,None,.L00409C14,@branchlabel,None,None,None,0x4,0x9C14,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409C24,yyparse,yyparse,@function,None,None,0x5D1C,0x5D1C,0x9C24,.text,True,True,False,False,0,None,False,True,True,False
symbol,0x409CB0,None,.L00409CB0,@jumptablelabel,None,None,None,0x4,0x9CB0,.text,True,False,True,False,333,None,False,False,False,False
symbol,0x409CCC,None,.L00409CCC,@branchlabel,None,None,None,0x4,0x9CCC,.text,True,False,True,False,5,None,False,False,False,False
symbol,0x409D38,None,.L00409D38,@branchlabel,None,None,None,0x4,0x9D38,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409D70,None,.L00409D70,@branchlabel,None,None,None,0x4,0x9D70,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409DAC,None,.L00409DAC,@branchlabel,None,None,None,0x4,0x9DAC,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409DC8,None,.L00409DC8,@branchlabel,None,None,None,0x4,0x9DC8,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409E0C,None,.L00409E0C,@branchlabel,None,None,None,0x4,0x9E0C,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x409E34,None,.L00409E34,@branchlabel,None,None,None,0x4,0x9E34,.text,True,False,True,False,4,None,False,False,False,False
symbol,0x409F48,None,.L00409F48,@branchlabel,None,None,None,0x4,0x9F48,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x409F50,None,.L00409F50,@branchlabel,None,None,None,0x4,0x9F50,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409FCC,None,.L00409FCC,@branchlabel,None,None,None,0x4,0x9FCC,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409FD0,None,.L00409FD0,@branchlabel,None,None,None,0x4,0x9FD0,.text,True,False,True,False,3,None,False,False,False,False
symbol,0x40A014,None,.L0040A014,@branchlabel,None,None,None,0x4,0xA014,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x40A088,None,.L0040A088,@branchlabel,None,None,None,0x4,0xA088,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x40A0C0,None,.L0040A0C0,@branchlabel,None,None,None,0x4,0xA0C0,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x40A140,None,.L0040A140,@branchlabel,None,None,None,0x4,0xA140,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x40A1C4,None,.L0040A1C4,@branchlabel,None,None,None,0x4,0xA1C4,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x40A1FC,None,.L0040A1FC,@branchlabel,None,None,None,0x4,0xA1FC,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x40A238,None,.L0040A238,@branchlabel,None,None,None,0x4,0xA238,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x40A254,None,.L0040A254,@branchlabel,None,None,None,0x4,0xA254,.text,True,False,True,False,1,None,False,False,False,False
