category,address,name,getName,dynsymIndex,getType,accessType,size,autodetectedSize,getSize,getVrom,sectionType,isDefined,isUserDeclared,isAutogenerated,isMaybeString,referenceCounter,overlayCategory,unknownSegment,isGot,isGotGlobal,isGotLocal,gotIndex,isAutoCreatedPad
symbol,0x409750,__start,__start,19,@function,None,0x11C,0x11C,0x11C,0x9750,.text,True,True,False,False,0,None,False,False,False,False,None,False
symbol,0x40975C,None,.L0040975C,None,@branchlabel,None,None,None,0x4,0x975C,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x4097B0,None,.L004097B0,None,@branchlabel,None,None,None,0x4,0x97B0,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x40986C,_mcount,_mcount,20,@function,None,0xC,0x14,0xC,0x986C,.text,True,True,False,False,0,None,False,False,False,False,None,False
symbol,0x409880,parse_init,parse_init,206,@function,None,0x110,0x110,0x110,0x9880,.text,True,True,False,False,0,None,False,True,True,False,110,False
symbol,0x4098CC,None,.L004098CC,None,@branchlabel,None,None,None,0x4,0x98CC,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x4098DC,None,.L004098DC,None,@branchlabel,None,None,None,0x4,0x98DC,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x40990C,None,.L0040990C,None,@branchlabel,None,None,None,0x4,0x990C,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x409990,parse,parse,207,@function,None,0x80,0x80,0x80,0x9990,.text,True,True,False,False,0,None,False,True,True,False,111,False
symbol,0x4099F8,None,.L004099F8,None,@branchlabel,None,None,None,0x4,0x99F8,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x409A00,None,.L00409A00,None,@branchlabel,None,None,None,0x4,0x9A00,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x409A10,delete_local_decls,delete_local_decls,208,@function,None,0x220,0x220,0x220,0x9A10,.text,True,True,False,False,0,None,False,True,True,False,112,False
symbol,0x409A80,None,.L00409A80,None,@branchlabel,None,None,None,0x4,0x9A80,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x409AB4,None,.L00409AB4,None,@branchlabel,None,None,None,0x4,0x9AB4,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x409AD4,None,.L00409AD4,None,@branchlabel,None,None,None,0x4,0x9AD4,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x409B04,None,.L00409B04,None,@branchlabel,None,None,None,0x4,0x9B04,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x409B14,None,.L00409B14,None,@branchlabel,None,None,None,0x4,0x9B14,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x409B1C,None,.L00409B1C,None,@branchlabel,None,None,None,0x4,0x9B1C,.text,True,False,True,False,2,None,False,False,False,False,None,False
symbol,0x409B2C,None,.L00409B2C,None,@branchlabel,None,None,None,0x4,0x9B2C,.text,True,False,True,False,2,None,False,False,False,False,None,False
symbol,0x409B50,None,.L00409B50,None,@branchlabel,None,None,None,0x4,0x9B50,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x409B60,None,.L00409B60,None,@branchlabel,None,None,None,0x4,0x9B60,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x409B70,None,.L00409B70,None,@branchlabel,None,None,None,0x4,0x9B70,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x409B78,None,.L00409B78,None,@branchlabel,None,None,None,0x4,0x9B78,.text,True,False,True,False,2,None,False,False,False,False,None,False
symbol,0x409B7C,None,.L00409B7C,None,@branchlabel,None,None,None,0x4,0x9B7C,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x409BB4,None,.L00409BB4,None,@branchlabel,None,None,None,0x4,0x9BB4,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x409BE4,None,.L00409BE4,None,@branchlabel,None,None,None,0x4,0x9BE4,.text,True,False,True,False,3,None,False,False,False,False,None,False
symbol,0x409C00,None,.L00409C00,None,@branchlabel,None,None,None,0x4,0x9C00,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x409C04,None,.L00409C04,None,@branchlabel,None,None,None,0x4,0x9C04,.text,True,False,True,False,3,None,False,False,False,False,None,False
symbol,0x409C30,make_topdecl,make_topdecl,209,@function,None,0xE8,0xE8,0xE8,0x9C30,.text,True,True,False,False,0,None,False,True,True,False,113,False
symbol,0x409CB4,None,.L00409CB4,None,@branchlabel,None,None,None,0x4,0x9CB4,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x409CBC,None,.L00409CBC,None,@branchlabel,None,None,None,0x4,0x9CBC,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x409D04,None,.L00409D04,None,@branchlabel,None,None,None,0x4,0x9D04,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x409D08,None,.L00409D08,None,@branchlabel,None,None,None,0x4,0x9D08,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x409D18,None,func_00409D18,None,@function,None,None,0x120,0x120,0x9D18,.text,True,False,True,False,2,None,False,True,False,True,None,False
symbol,0x409D6C,None,.L00409D6C,None,@branchlabel,None,None,None,0x4,0x9D6C,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x409D88,None,.L00409D88,None,@branchlabel,None,None,None,0x4,0x9D88,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x409D90,None,.L00409D90,None,@branchlabel,None,None,None,0x4,0x9D90,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x409DD8,None,.L00409DD8,None,@branchlabel,None,None,None,0x4,0x9DD8,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x409DE4,None,.L00409DE4,None,@branchlabel,None,None,None,0x4,0x9DE4,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x409DF0,None,.L00409DF0,None,@branchlabel,None,None,None,0x4,0x9DF0,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x409DF4,None,.L00409DF4,None,@branchlabel,None,None,None,0x4,0x9DF4,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x409E28,None,.L00409E28,None,@branchlabel,None,None,None,0x4,0x9E28,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x409E38,yyparse,yyparse,210,@function,None,0x52F8,0x52F8,0x52F8,0x9E38,.text,True,True,False,False,0,None,False,True,True,False,114,False
symbol,0x409EC4,None,.L00409EC4,None,@jumptablelabel,None,None,None,0x4,0x9EC4,.text,True,False,True,False,334,None,False,False,False,False,None,False
symbol,0x409EDC,None,.L00409EDC,None,@branchlabel,None,None,None,0x4,0x9EDC,.text,True,False,True,False,5,None,False,False,False,False,None,False
symbol,0x409F2C,None,.L00409F2C,None,@branchlabel,None,None,None,0x4,0x9F2C,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x409F54,None,.L00409F54,None,@branchlabel,None,None,None,0x4,0x9F54,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x409F84,None,.L00409F84,None,@branchlabel,None,None,None,0x4,0x9F84,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x409FA0,None,.L00409FA0,None,@branchlabel,None,None,None,0x4,0x9FA0,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x409FDC,None,.L00409FDC,None,@branchlabel,None,None,None,0x4,0x9FDC,.text,True,False,True,False,2,None,False,False,False,False,None,False
symbol,0x40A004,None,.L0040A004,None,@branchlabel,None,None,None,0x4,0xA004,.text,True,False,True,False,4,None,False,False,False,False,None,False
symbol,0x40A110,None,.L0040A110,None,@branchlabel,None,None,None,0x4,0xA110,.text,True,False,True,False,2,None,False,False,False,False,None,False
symbol,0x40A118,None,.L0040A118,None,@branchlabel,None,None,None,0x4,0xA118,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x40A184,None,.L0040A184,None,@branchlabel,None,None,None,0x4,0xA184,.text,True,False,True,False,4,None,False,False,False,False,None,False
symbol,0x40A1C4,None,.L0040A1C4,None,@branchlabel,None,None,None,0x4,0xA1C4,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x40A238,None,.L0040A238,None,@branchlabel,None,None,None,0x4,0xA238,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x40A264,None,.L0040A264,None,@branchlabel,None,None,None,0x4,0xA264,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x40A2D0,None,.L0040A2D0,None,@branchlabel,None,None,None,0x4,0xA2D0,.text,True,False,True,False,2,None,False,False,False,False,None,False
symbol,0x40A32C,None,.L0040A32C,None,@branchlabel,None,None,None,0x4,0xA32C,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x40A354,None,.L0040A354,None,@branchlabel,None,None,None,0x4,0xA354,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x40A384,None,.L0040A384,None,@branchlabel,None,None,None,0x4,0xA384,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x40A3A0,None,.L0040A3A0,None,@branchlabel,None,None,None,0x4,0xA3A0,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x40A3DC,None,.L0040A3DC,None,@branchlabel,None,None,None,0x4,0xA3DC,.text,True,False,True,False,2,None,False,False,False,False,None,False
symbol,0x40A400,None,.L0040A400,None,@branchlabel,None,None,None,0x4,0xA400,.text,True,False,True,False,5,None,False,False,False,False,None,False
symbol,0x40A4A4,None,.L0040A4A4,None,@branchlabel,None,None,None,0x4,0xA4A4,.text,True,False,True,False,4,None,False,False,False,False,None,False
symbol,0x40A508,None,.L0040A508,None,@branchlabel,None,None,None,0x4,0xA508,.text,True,False,True,False,2,None,False,False,False,False,None,False
symbol,0x40A564,None,.L0040A564,None,@branchlabel,None,None,None,0x4,0xA564,.text,True,False,True,False,1,None,False,False,False,False,None,False
symbol,0x40A58C,None,.L0040A58C,None,@branchlabel,None,None,None,0x4,0xA58C,.text,True,False,True,False,1,None,False,False,False,False,None,False
