category,address,name,getName,dynsymIndex,getType,accessType,size,autodetectedSize,getSize,getVrom,sectionType,isDefined,isUserDeclared,isAutogenerated,isMaybeString,referenceCounter,overlayCategory,unknownSegment,isGot,isGotGlobal,isGotLocal,gotIndex,isAutoCreatedPad
symbol,0x-07F9C,None,D_-07F9C,None,,WORD,None,None,0x1,0x0,,False,False,True,False,3,None,True,False,False,False,None,False
symbol,0x-07F94,None,D_-07F94,None,,WORD,None,None,0x1,0x0,,False,False,True,False,1,None,True,False,False,False,None,False
symbol,0x-07F90,None,D_-07F90,None,,WORD,None,None,0x1,0x0,,False,False,True,False,1,None,True,False,False,False,None,False
symbol,0x-07DA8,None,D_-07DA8,None,,WORD,None,None,0x1,0x0,,False,False,True,False,1,None,True,False,False,False,None,False
symbol,0x-07854,None,D_-07854,None,,WORD,None,None,0x1,0x0,,False,False,True,False,1,None,True,False,False,False,None,False
symbol,0x-07770,None,D_-07770,None,,WORD,None,None,0x1,0x0,,False,False,True,False,2,None,True,False,False,False,None,False
symbol,0x-0776C,None,D_-0776C,None,,WORD,None,None,0x1,0x0,,False,False,True,False,2,None,True,False,False,False,None,False
symbol,0x000004,errno,errno,118,,None,0x4,None,0x4,0x0,,False,True,False,False,0,None,True,False,False,False,None,False
symbol,0x030014,None,D_030014,None,,WORD,None,None,0x1,0x0,,False,False,True,False,1,None,True,False,False,False,None,False
symbol,0x344AE9E1,None,.L344AE9E1,None,@jumptablelabel,None,None,None,0x1,0x0,.text,False,False,True,False,0,None,True,False,False,False,None,False
