offset,vram,.dummy
000120,00400120,interp

offset,vram,.text
002A00,00402A00,acpp_002A00
002A10,00402A10,acpp_002A10
002E20,00402E20,acpp_002E20
# 002FE4,00402FE4,acpp_002FE4

offset,vram,.dummy
011930,00411930,init

offset,vram,.data
012000,10000000,acpp_012000

offset,vram,.rodata
012B80,10000B80,acpp_012B80
0141E0,100021E0,acpp_0141E0
0141F0,100021F0,acpp_0141F0
014680,10002680,acpp_014680

offset,vram,.dummy
014830,10002830,got

offset,vram,.bss
014BD0,10002BD0,acpp_10002BD0

018B40,10006B40,.end
