offset,vram,.dummy
000120,00400120,interp

offset,vram,.text
011A70,00411A70,ld_011A70
011A80,00411A80,ld_011A80
# 012178,00412178,ld_012178
01CDA0,0041CDA0,ld_01CDA0
032AE0,00432AE0,ld_032AE0
0539C0,004539C0,ld_0539C0
# 05F1B4,0045F1B4,ld_05F1B4
# 065A08,00465A08,ld_065A08
# 068A98,00468A98,ld_068A98
# 06AB98,0046AB98,ld_06AB98
# 076494,00476494,ld_076494
# 07BDE4,0047BDE4,ld_07BDE4
0919F0,004919F0,ld_0919F0
094D70,00494D70,ld_094D70
094E10,00494E10,ld_094E10
0952D0,004952D0,ld_0952D0
# 095844,00495844,ld_095844
# 098174,00498174,ld_098174

offset,vram,.dummy
0A05E0,004A05E0,init

offset,vram,.data
0A1000,10000000,ld_0A1000

offset,vram,.rodata
0A2DA0,10001DA0,ld_0A2DA0
0A4080,10003080,ld_0A4080
0A4140,10003140,ld_0A4140
0A4280,10003280,ld_0A4280
0A43B0,100033B0,ld_0A43B0
0A4440,10003440,ld_0A4440
0A4460,10003460,ld_0A4460
0A45A0,100035A0,ld_0A45A0
0A4630,10003630,ld_0A4630
0A4680,10003680,ld_0A4680
0A53B0,100043B0,ld_0A53B0
0A61E0,100051E0,ld_0A61E0
0A62B0,100052B0,ld_0A62B0
0A6EB0,10005EB0,ld_0A6EB0
0A7070,10006070,ld_0A7070
0A71A0,100061A0,ld_0A71A0
0A7520,10006520,ld_0A7520
0A7BB0,10006BB0,ld_0A7BB0
0A94A0,100084A0,ld_0A94A0
0A9F80,10008F80,ld_0A9F80
0AC250,1000B250,ld_0AC250
0AC330,1000B330,ld_0AC330
0ACE70,1000BE70,ld_0ACE70
0AF420,1000E420,ld_0AF420
0AF520,1000E520,ld_0AF520
0B0510,1000F510,ld_0B0510
0B0B70,1000FB70,ld_0B0B70
0B0C00,1000FC00,ld_0B0C00
0B12F0,100102F0,ld_0B12F0
0B14A0,100104A0,ld_0B14A0
0B15E0,100105E0,ld_0B15E0
0B18B0,100108B0,ld_0B18B0
0B1D10,10010D10,ld_0B1D10
0B2010,10011010,ld_0B2010
0B2170,10011170,ld_0B2170
0B23D0,100113D0,ld_0B23D0
0B2540,10011540,ld_0B2540
0B3570,10012570,ld_0B3570
0B3580,10012580,ld_0B3580
0B37F0,100127F0,ld_0B37F0
0B3840,10012840,ld_0B3840
0B3AB0,10012AB0,ld_0B3AB0
0B4120,10013120,ld_0B4120
0B41B0,100131B0,ld_0B41B0
0B41D0,100131D0,ld_0B41D0
0B4210,10013210,ld_0B4210
0B4250,10013250,ld_0B4250
0B4260,10013260,ld_0B4260
0B4350,10013350,ld_0B4350
0B4460,10013460,ld_0B4460
0B44F0,100134F0,ld_0B44F0
0B4760,10013760,ld_0B4760
0B4780,10013780,ld_0B4780
0B4810,10013810,ld_0B4810
0B4A60,10013A60,ld_0B4A60
0B4B00,10013B00,ld_0B4B00
0B4B80,10013B80,ld_0B4B80
0B4BD0,10013BD0,ld_0B4BD0
0B5860,10014860,ld_0B5860

offset,vram,.dummy
0B58E0,100148E0,got

offset,vram,.bss
0B6C60,10015C60,ld_10015C60

0CCF00,1002BF00,.end
