offset,vram,.dummy
000134,00400134,interp

offset,vram,.dummy
003CF0,00403CF0,MIPS.stubs

offset,vram,.text
003FD0,00403FD0,as0_003FD0
004100,00404100,as0_004100
004C80,00404C80,as0parse
00D760,0040D760,as0_00D760
011E10,00411E10,as0_011E10
0121B0,004121B0,as0_0121B0
012960,00412960,as0_012960
013020,00413020,as0_013020
0134B0,004134B0,as0_0134B0
013960,00413960,as0_013960
014340,00414340,as0_014340
015BF0,00415BF0,as0_015BF0
016CE0,00416CE0,as0_016CE0
017670,00417670,as0_017670
019770,00419770,as0_019770
01C5F0,0041C5F0,as0_01C5F0

offset,vram,.dummy
01D320,0041D320,init

offset,vram,.rodata
01E000,1000E000,as0_01E000
01E220,1000E220,as0_01E220
01F800,1000F800,as0_01F800
01FAC0,1000FAC0,as0_01FAC0
020150,10010150,as0_020150
0212F0,100112F0,as0_0212F0
021330,10011330,as0_021330
0217F0,100117F0,as0_0217F0
021900,10011900,as0_021900
0219F0,100119F0,as0_0219F0
021C40,10011C40,as0_021C40
021CD0,10011CD0,as0_021CD0
021F20,10011F20,as0_021F20
022190,10012190,as0_022190

offset,vram,.data
0221F0,100121F0,as0_0221F0

offset,vram,.dummy
0236A0,100136A0,got

offset,vram,.bss
023A24,10013A30,as0_10013A30

025564,10015570,.end
# offset,vram,.dummy
# 024000,00000000,rtproc

