offset,vram,.dummy
000134,00400134,interp

offset,vram,.dummy
0047CC,004047CC,MIPS.stubs

offset,vram,.text
004B10,00404B10,umerge_004B10
004C40,00404C40,umerge_004C40
0065E0,004065E0,umerge_0065E0
007370,00407370,umerge_007370
00A7E0,0040A7E0,umerge_00A7E0
00D220,0040D220,umerge_00D220
00DFE0,0040DFE0,umerge_00DFE0
013DA0,00413DA0,umerge_013DA0
014830,00414830,umerge_014830
015920,00415920,umerge_015920
016560,00416560,umerge_016560
0169F0,004169F0,umerge_0169F0
0182A0,004182A0,umerge_0182A0
018360,00418360,umerge_018360
018CC0,00418CC0,umerge_018CC0
01ADC0,0041ADC0,umerge_01ADC0
01DC40,0041DC40,umerge_01DC40
01DD10,0041DD10,umerge_01DD10
01E0B0,0041E0B0,umerge_01E0B0
020870,00420870,umerge_020870
0209C0,004209C0,umerge_0209C0
020AE0,00420AE0,umerge_020AE0

offset,vram,.dummy
0214C0,004214C0,init

offset,vram,.rodata
022000,10002000,umerge_022000
022700,10002700,umerge_022700
0227F0,100027F0,umerge_0227F0
022AC0,10002AC0,umerge_022AC0
022F60,10002F60,umerge_022F60
0231C0,100031C0,umerge_0231C0
023410,10003410,umerge_023410
023670,10003670,umerge_023670
023700,10003700,umerge_023700
0237F0,100037F0,umerge_0237F0
023900,10003900,umerge_023900
023990,10003990,umerge_023990
0239B0,100039B0,umerge_0239B0
023C20,10003C20,umerge_023C20
023C40,10003C40,umerge_023C40
023D90,10003D90,umerge_023D90

offset,vram,.data
023E60,10003E60,umerge_023E60

offset,vram,.dummy
0249B0,100049B0,got

offset,vram,.bss
024E28,10004E30,umerge_10004E30

02747C,10007484,.end
